BFMTV_BFMStory_2012-07-27_175800 167.01 174.576 Olivier_TRUCHOT  28 5 7.566 7.07000000000005 0.360000000000014 0.151515151515152 0.0475812846946886 ce(2) soir ce(2) qu' il faut retenir(2) dans l' actualité Frédéric_De_Lanouvelle(3) bronson à vrai dire il y a plus que(2) quelques(3) heures avant l' ouverture des jeux(2) olympiques 
BFMTV_BFMStory_2012-07-27_175800 2372.39 2384.914 Olivier_TRUCHOT  43 10 12.524 10.7700000000009 1.75399999999945 0.188679245283019 0.140051101884338 alors vous(2) avez été(2) engagez -vous dans d' autres les jeux(2) olympiques notamment hassine et en en deux mille(2) comment est(3) -on lorsqu' on(2) est de(2) l' autre côté labarrière finalement(3) consultant comment(2) madrid six camarades on(2) est quand même(2) beaucoup plus tranquille 
BFMTV_BFMStory_2012-07-27_175800 2384.91 2409.418 Brahim_ASLOUM  95 21 24.508 18.6600000000021 5.47800000000007 0.181034482758621 0.223518850987435 je peux vous(2) dire que y(5) a pas de stress quand(2) elle(2) m' a beaucoup moins c' est beaucoup plus(3) agréable on va dire qu' on qu' on(2) a l' occasion de savourer depuis ces choses là quand(2) on(2) est athlète enama plus(2) concentré on(2) est dans sa bulle(2) on a on(2) a un stress qui est assez permanent(3) là ça n' est plus(2) à l' état d' esprit(2) de de contrats décontracté(2) plus(3) agréable(4) et ça permet aussi de(2) de(2) voir tous les sportifs au club france où il est l' ambiance(2) très(2) agréable(3) 
BFMTV_BFMStory_2012-07-27_175800 2409.42 2416.72 Olivier_TRUCHOT  29 3 7.3 6.67999999999938 0.389999999999873 0.09375 0.0534246575342291 alors pendant la cérémonie(4) d' ouverture les(2) athlètes ont donc défilé(2) dans le(2) stade olympique vous(2) avez souvenir(2) justement de(2) de(2) sinai c' est(3) un moment très fort hein 
BFMTV_BFMStory_2012-07-27_175800 2417.61 2456.642 Brahim_ASLOUM  125 38 39.032 29.8599999999988 9.03200000000152 0.233128834355828 0.231399877024019 ouest(2) a montré forger le(2) cas(2) en moins de à mes premiers olympique(2) de(2) pouvoir participer à à l' ouverture(3) des jeux(2) olympiques c' est vrai que beaucoup d' attente(2) de hong-kong déconseillé(2) aux sportifs qui qui boxeur et le(2) lendemain au qui auront une compétition(2) le(2) le(2) lendemain des pas des pas y(4) aller des débats participer yen(2) fati qui qui qui qui est présent(4) parce qu' on(2) attend moins de deux(2) heures avant de pouvoir entrer dans le(2) stade et puis après y(5) a tout(2) un(2) effet(2) d' un(2) protocole(2) donc mais c' est assez excitant(2) quand(2) on les vit le(2) stade est remplie une ambiance(2) est exceptionnel(6) et et le(2) fait(2) de(2) faire(3) les jeux(2) olympiques c' est des moments très(2) intense 
BFMTV_BFMStory_2012-07-27_175800 2456.65 2461.376 Olivier_TRUCHOT  12 4 4.726 3.84000000000015 0.816000000000258 0.25 0.172661870503652 quels sont vos chances(2) dans la catégorie(2) boxe(2) pour cij wallon hein 
BFMTV_BFMStory_2012-07-27_175800 2462.17 2507.209 Brahim_ASLOUM  154 31 45.039 36.9300000000003 7.9489999999987 0.167567567567568 0.176491485157279 nous(2) avons actuellement(3) cinq(2) boxeurs qualifiés pour ces jeux(2) olympiques la plus grosse difficulté aux disciplines c' est les qualifications va sont(2) très rude(2) nous(2) avons pas tête de(2) série(2) donc nous pourrons boxer(2) au premier tour en champion du monde ou champions olympiques il s' avère que(2) les jeux(2) olympiques c' est pareil alors on(2) en saura un peu plus(2) je(2) pense demain au tirage au sort est de savoir comment les boxeurs m' ont abordé cette compétition(2) et elle(3) en tout cas sur les cinq(2) boxeurs engagés il y(4) a deux boxeurs qui ont beaucoup d' expérience qui noureddine ou balise alexis gastines qui sont logiquement(2) médaille hâbleur mais dans les jeux(2) olympiques n' a pas de logique il faudra saisir(2) les combats les(2) uns après les(2) autres et j' espère(5) qu' en tout cas après mon titre(2) de(2) champagne un ticket de cinéma nous(2) aurons un nouveau champion olympique de(2) boxe 
BFMTV_BFMStory_2012-07-27_175800 2507.21 2529.627 Olivier_TRUCHOT  76 13 22.417 20.0500000000015 2.28699999999981 0.146067415730337 0.102020787794968 bah on l' espère brahim asloum merci d' avoir été avec(2) nous quelques(2) minutes(2) et on retrouvera régulièrement(6) bien sûr sur l' antenne de(2) bfm tv pourra notamment commenter elle la boxe(2) alors parlons de(2) cidj ou avec gérard et et puis virgile tout d' abord gérard c' est vrai que(2) avant tout des jeux(2) olympiques(3) ce(2) sont des records des performances on(2) attend ça et des jeux réussis c' est lorsque(2) les records sont battus 
BFMTV_BFMStory_2012-07-27_175800 2529.62 2536.548 Gerard_SCHALLER  29 3 6.928 6.15799999999945 0.580000000000382 0.09375 0.0837182448037503 on on risque(2) d' être un peu déçu parce que(2) londres iris de(2) pleuvoir les records sur cent mètres quand(2) il pleut on fait pas bonne performance n' en 
BFMTV_BFMStory_2012-07-27_175800 2536.55 2537.706 Olivier_TRUCHOT  4 1 1.156 0.8100000000004 0.239999999999782 0.2 0.207612456747216 a déjà(2) douche froide 
BFMTV_BFMStory_2012-07-27_175800 2537.71 2548.561 Gerard_SCHALLER  51 9 10.851 9.34000000000151 1.45000000000027 0.15 0.13362823702887 où il se dégage(2) à l' instant et puis puis les au corps on on(2) un peu peur des records parce qu' on va tellement(3) ou qu' on se(2) dit ce que(2) derrière y(5) a pas des(2) êtres qui ont été un peu à peu près aux(2) orages voilà soyons clairs 
BFMTV_BFMStory_2012-07-27_175800 2548.56 2551.19 Olivier_TRUCHOT  12 2 2.63 2.29000000000042 0.320000000000164 0.142857142857143 0.121673003802344 sosa(2) cette question(2) il y(5) a y(5) a vingt ou trente ans 
BFMTV_BFMStory_2012-07-27_175800 2551.19 2565.325 Gerard_SCHALLER  61 7 14.135 12.4700000000016 1.49500000000035 0.102941176470588 0.105765829501263 on se les poser paumés se(2) posait déjà m' enfin on le(2) on n' aborde pas le sujet mais mais mais c' est(2) c' est(3) à nouveau non ce qui ce qui est le(2) plus(3) intéressant c' est la lutte d' individu à individu j' allais dire de(2) mahomet maintenant(3) il y(5) a de(2) plus(3) en plus de femmes qui participent 
BFMTV_BFMStory_2012-07-27_175800 2565.32 2566.3 Olivier_TRUCHOT  4 0 0.98 0.970000000000709 0 0 0 à l' édition fait(2) 
BFMTV_BFMStory_2012-07-27_175800 2566.3 2573.046 Gerard_SCHALLER  19 5 6.746 5.68999999999869 0.880000000000109 0.208333333333333 0.130447672694947 la compétition(2) quelle que(2) soit la performance réalisée quand(2) la compétition(2) et belles(2) voilà le(2) spectacle(3) là ces aides(5) 
BFMTV_BFMStory_2012-07-27_175800 2573.05 2592.899 Olivier_TRUCHOT  73 15 19.849 17.5699999999997 2.24000000000024 0.170454545454545 0.112852032848014 surtout que(2) feront(3) pas toujours un(2) objectif(2) arles on dit il faut faire au moins quarante et une(2) médaille(4) ce(2) sont les les les quarante huit de(2) pékin(2) bon mais on sait très bien qu' en général on on on se trompe même dans les pronostics ce(2) qu' on(2) attend avec une il dort contre performer puis d' autres(2) qui étaient pas du tout entendu finalement(3) sont les surprises(2) Annie_David les(2) histoires régio 
BFMTV_BFMStory_2012-07-27_175800 2592.9 2604.959 Gerard_SCHALLER  49 7 12.059 11.0300000000011 1.029 0.125 0.0853304585786546 oui et bon je(2) je(2) vais être un peu méchant(3) en mille neuf cent quatre vingt quatre tous les pays du monde je(2) dis bien tous les pays(3) du monde en ont fait(2) plus de(2) médailles que(2) la fois précédentes sauf le(2) royaume-uni qui exceptionnellement(3) était passé à travers 
BFMTV_BFMStory_2012-07-27_175800 2604.96 2605.963 Olivier_TRUCHOT  6 0 1.003 0.98299999999972 0 0 0 parce que les les plus(3) étroits 
BFMTV_BFMStory_2012-07-27_175800 2605.96 2627.517 Gerard_SCHALLER  82 10 21.557 19.0100000000002 2.39999999999918 0.108695652173913 0.111332745743804 et où il cessa jacques alors que les(2) élèves(7) des(2) voix selon le vingt(2) huit quatre on on compare aujourd'hui quarante et une médaille(3) à ce qu' on(2) avait en mille neuf cent soixante quatre neuf cent soixante huit(2) mais le(2) nombre des preuves(2) et beaucoup beaucoup plus(3) élevé(2) on va avoir une médaille(3) je(2) l' espère(5) au vtt le le(2) vtt c' est quelque(4) chose de(2) très récente en soixante huit(2) cette(2) même pas avant(2) et ne connaissait pas selelo leur 
BFMTV_BFMStory_2012-07-27_175800 2606.8 2609.022 Olivier_TRUCHOT  12 1 2.222 1.97999999999956 0.230000000000018 0.0769230769230769 0.103510351035112 jacques alors que les(2) élèves(7) des(2) voix selon le vingt(2) huit quatre 
BFMTV_BFMStory_2012-07-27_175800 2627.52 2644.926 Olivier_TRUCHOT  65 15 17.406 15.1299999999997 2.24600000000009 0.1875 0.12903596460991 alors on peut grosse ou parce que(2) on peut pas(2) empêcher de regarder quand même la facture a annoncé qu' il est derrière pas la facture au départ londres(2) ça devait(3) coûter trois ou quatre milliards ça va coûter entre(2) douze et quinze milliards d' euros c' est quand même énormément(3) d' argent dans(2) un pays en crise(2) n' est(2) pas un luxe(2) trop coûteux 
BFMTV_BFMStory_2012-07-27_175800 2644.92 2664.79 Virgile_CAILLET  69 16 19.87 16.5399999999991 3.28999999999996 0.188235294117647 0.165576245596375 alors effectivement(6) j' entendais tout(2) alors brahim nous dire qui avait pas véritablement(2) de logique(2) aux jeux(2) olympiques en tout cas sportivement parce que(2) économiquement(2) où il y(5) a une logique(2) illogique c' est un véritable(4) business et les jeux(2) olympiques(2) l' organisation des jeux c' est le loup vous l' avez dit ça va être au centre en eau douce treize milliards la facture pour pour les(2) anglais 
BFMTV_BFMStory_2012-07-27_175800 2664.79 2668.089 Olivier_TRUCHOT  16 1 3.299 2.90999999999985 0.239999999999782 0.0588235294117647 0.0727493179750778 c' est que(2) pékin(2) mais c' est beaucoup plus(2) que(2) tous les les les(2) autres(2) je 
BFMTV_BFMStory_2012-07-27_175800 2668.09 2689.368 Virgile_CAILLET  77 15 21.278 18.639999999999 2.54000000000133 0.16304347826087 0.119372121440047 dansais nettement(2) moins que pékin(2) sasha(2) julia ont enfin en revanche c' est(3) en(2) dessous d' athènes rassemblent un(2) thème(3) qui avait été(2) quand même un(2) gouffre(2) terrible(4) puisqu' il était(3) parti avec(2) un budget prévisionnel(2) de(2) deux virgule cinq(2) milliards ils(2) avaient terminé à plus treize milliards donc elle(3) est légère(6) petit défaillance(2) certainement(3) dans la dans les prévisions budgétaires(4) avec une intervention de l' état(2) qui était(3) quasiment de(2) cinquante pour cent du budget global 
BFMTV_BFMStory_2012-07-27_175800 2689.37 2693.325 Olivier_TRUCHOT  19 4 3.955 3.41000000000031 0.509999999999764 0.173913043478261 0.128950695322317 on voit un(2) jour elle(3) où se(2) trouve régresse c' est justement ce il c' est un business rentable(2) 
BFMTV_BFMStory_2012-07-27_175800 2693.33 2732.433 Virgile_CAILLET  142 26 39.103 34.5799999999986 4.49000000000069 0.154761904761905 0.114824949492384 alors c' est(3) un business rentable pour certains en tout cas puisque(2) je peux vous dire que(2) pour le(2) le(2) comité international olympique(2) c' est(3) une affaire qui marche plutôt bien il y(4) a énormément(7) de(2) de(2) de(2) de(2) sponsors qui sont présents sur sur cet événement(5) c' est(3) un(2) petit(3) peu moins rentables en tout cas sur les dernières(11) éditions(3) pense concerne le(2) le(2) l' organisateur l' organisation la structure organisatrice et parfois pour l' état(2) un(2) petit(3) peu difficile quand même de(2) juger à court terme(3) les jeux(2) olympiques parce que(2) ça sera(2) le cas encore pour londres y(4) a toute une logique d' investissement(3) des(2) dans les(2) infrastructures transports transports exactement donc en fait(2) la lecture(3) d' un d' un(2) des jeux(2) olympiques c' est c' est c' est vraiment sur du long terme(3) du très long terme c' 
BFMTV_BFMStory_2012-07-27_175800 2732.43 2735.485 Olivier_TRUCHOT  12 2 3.055 2.88999999999987 0.164999999999964 0.142857142857143 0.0540098199672549 est(2) vrai que(2) la la sécurité(2) fait exploser(2) tous les budgets également(7) 
BFMTV_BFMStory_2012-07-27_175800 2735.48 2736.03 Virgile_CAILLET  4 0 0.55 0.5 0 0 0 ça c' est vrai 
BFMTV_BFMStory_2012-07-27_175800 2736.03 2737.107 Olivier_TRUCHOT  6 2 1.077 0.779999999999291 0.230000000000018 0.25 0.213556174558977 que ça c' est aussi avant 
BFMTV_BFMStory_2012-07-27_175800 2737.11 2755.067 Virgile_CAILLET  45 21 17.957 13.9299999999998 4.01700000000119 0.318181818181818 0.223701063652124 alors il y(5) avait moins se(2) soucie mais effectivement(14) aujourd'hui les contraintes les process font que(2) la sécurité(2) à dépasser(2) vraiment toutes les(2) attentes c' est plus dans une gare(2) deux-roues ancêtres(4) et c' est complètement(3) hallucinant effectivement(14) bacille celle(3) liée au contexte(2) aujourd'hui géopolitique(3) 
BFMTV_BFMStory_2012-07-27_175800 2755.07 2767.145 Olivier_TRUCHOT  47 7 12.075 10.6699999999996 1.27999999999975 0.12962962962963 0.106004140786728 gérard soler légion ces(2) ce(2) sont aussi bien sur les les sports tous les sports et puis des sports puis finalement(3) on redécouvre(3) tous les quatre ans puis ensuite on(2) abandonne(2) e s que(2) quand même(2) les les trois forces(2) passant maîtresse en(2) reste(2) pas cent mètres 
BFMTV_BFMStory_2012-07-27_175800 2767.14 2768.596 Gerard_SCHALLER  6 1 1.456 1.28999999999996 0.110000000000127 0.142857142857143 0.075549450549538 en bonus sur bien sûr le(2) 
BFMTV_BFMStory_2012-07-27_175800 2768.6 2769.525 Olivier_TRUCHOT  4 1 0.925 0.650000000000091 0.275000000000091 0.2 0.297297297297396 gourou et d' ailleurs 
BFMTV_BFMStory_2012-07-27_175800 2769.52 2792.931 Gerard_SCHALLER  84 21 23.411 17.2500000000005 6.13099999999895 0.2 0.261885438469051 parce que(2) c' est l' homme le(2) plus rapide du monde point si y(5) a y(5) a pas de(2) voyant natation ses il y(5) a une espèce(4) de(2) contrainte qui aide(2) dans l' eau en marche à pied y(4) a une contre-enquête(3) parcourir le(2) sans matière aucune contrainte c' est(3) à dire que ces c' est la valeur pure de(2) l' individu voilà c' est c' est c' est comme ça qu' on(2) qu' on(2) exprime(3) la valeur de(2) d' un d' un sportif 
BFMTV_BFMStory_2012-07-27_175800 2792.94 2793.832 Olivier_TRUCHOT  1 4 0.892 0.110000000000127 0.749999999999545 0.8 0.840807174887383 je 
BFMTV_BFMStory_2012-07-27_175800 2793.83 2802.744 Virgile_CAILLET  38 1 8.914 8.42400000000043 0.489999999999782 0.0256410256410256 0.0549697105676219 oui je(2) je(2) je(2) je(2) confirme puisqu' on(2) a huit non les enquêtes(2) récentes(4) qui confirment donc auprès des français qui confirme que(2) la finale du cent mètres et bien le(2) moment le(2) plus(3) attendu par les français 
BFMTV_BFMStory_2012-07-27_175800 2802.74 2803.956 Olivier_TRUCHOT  5 1 1.216 0.740000000000236 0.199999999999818 0.166666666666667 0.164473684210377 ont suivi l' un des 
BFMTV_BFMStory_2012-07-27_175800 2803.96 2819.694 Virgile_CAILLET  60 13 15.734 13.9900000000016 1.70999999999958 0.178082191780822 0.108681835515418 quatre-vingt un pour cent donc c' est qu' un(2) très très largement le(2) moment fort le(2) temps fort des des des jeux(2) olympiques(2) la natation confirme son statut de deuxième sport aux jeux(2) olympiques puisque(2) les les finales de(2) natation sont(2) attendus à soixante quatorze pour cent on(2) a quelque(2) chance de(2) médaille(3) également(5) ce qui explique(3) aussi selon vous 
BFMTV_BFMStory_2012-07-27_175800 2819.69 2824.528 Olivier_TRUCHOT  18 4 4.838 3.94000000000051 0.898000000000138 0.181818181818182 0.185613890037234 il faut aussi des vedettes ou des champions alors bien sûr bolts(2) ou faits(2) se(2) sont pas natation 
BFMTV_BFMStory_2012-07-27_175800 2824.53 2825.09 Gerard_SCHALLER  1 0 0.56 0.289999999999964 0 0 0 oui 
BFMTV_BFMStory_2012-07-27_175800 2825.09 2827.392 Olivier_TRUCHOT  7 3 2.302 1.67000000000007 0.612000000000535 0.3 0.265855777584941 qui fait la notoriété(2) d' une discipline(2) 
BFMTV_BFMStory_2012-07-27_175800 2827.39 2841.561 Gerard_SCHALLER  52 11 14.171 11.610000000001 2.48099999999977 0.174603174603175 0.17507585914895 ça dans chaque pays(4) poème dans chaque pays(3) teddy riner un champion fantastique(2) j' espère qui va porter(2) la médaille à la france la médaille d' or c' est ce qu' ils méritent(2) de(2) toute façon que je ne suis pas certain(2) que(2) dans certains pays(3) teddy riner sous une vraie star 
BFMTV_BFMStory_2012-07-27_175800 2841.56 2846.499 Olivier_TRUCHOT  18 4 4.939 4.02900000000045 0.869999999999891 0.181818181818182 0.17614901801982 n' en avons(2) au judo et voilà à l' escrime(3) la natation alors que les petits(4) trésors clemens 
BFMTV_BFMStory_2012-07-27_175800 2846.5 2869.733 Virgile_CAILLET  95 16 23.233 19.630000000001 3.5 0.144144144144144 0.150647785477553 weah était teddy riner les français ont grande confiance en teddy riner pour vous dire que(2) georges(2) et louis(2) on(2) a posé beaucoup de(2) jeu de(2) questions(3) à nos à nos compatriotes(7) et pour quatre vingt trois pour cent des français teddy riner sera(2) médaillés(2) et parmi ces quatre vingt trois pour cent et cent quatre vingt dix pour cent le voir avec la médaille(3) d' or donc y(5) a quelques(2) pas c' est une grosse pression mais lui -même cela n' est(3) ce que(2) j' entendais récemment évoqué(2) cette médaille(3) d' or pour rien 
BFMTV_BFMStory_2012-07-27_175800 2869.73 2877.094 Gerard_SCHALLER  38 2 7.364 6.89000000000033 0.360000000000127 0.05 0.0488864747420053 oui je(2) pense que(2) ce sont ces résultats qu' ils mettent la pression c' est à dire quand(2) on(2) est cinq(2) fois champion du monde alors qu' on(2) a vingt(2) deux(2) ans forcément radieux d' être(2) en vie 
BFMTV_BFMStory_2012-07-27_175800 2877.1 2878.718 Olivier_TRUCHOT  5 2 1.618 1.29999999999927 0.318000000000211 0.285714285714286 0.196538936959339 quoi encore au jeu avec 
BFMTV_BFMStory_2012-07-27_175800 2878.72 2880.278 Gerard_SCHALLER  4 1 1.558 1.04999999999973 0.320000000000164 0.2 0.205391527599592 willy les jeunes(2) les 
BFMTV_BFMStory_2012-07-27_175800 2880.27 2885.715 Olivier_TRUCHOT  14 8 5.445 2.79999999999927 2.63500000000022 0.363636363636364 0.483930211202979 villages(2) des(2) sciences(2) po kidiba servent à ce(2) poste et de(2) mettre le cap 
BFMTV_BFMStory_2012-07-27_175800 2885.72 2903.112 Gerard_SCHALLER  59 12 17.392 14.2220000000007 2.71000000000049 0.169014084507042 0.155818767249338 les raisons(2) si si sera cette fois -ci pour encore on commence à la prochaine fois mille fois là encore douve(2) David_Douillet a été(2) double(2) champion olympique ce qui était déjà(2) une performance exceptionnelle(6) malgré son(2) échec des derniers jeux teddy riner paul(2) trois fois m' enfin n' ont pas attendre qu' il soit déjà une fois ce(2) sera(2) 
BFMTV_BFMStory_2012-07-27_175800 2903.11 2920.87 Olivier_TRUCHOT  85 10 17.76 16.0700000000006 1.63999999999987 0.105263157894737 0.0923423423423352 d' une comme le(2) canon et on peut pas dire que(2) le canoë soit la discipline la plus télévisé(3) le(2) plus suivi le(2) le(2) reste(2) de(2) l' année et pourtant(2) unissent(3) Ang_Lee on le connaît tous(2) donc yahia yahia ça aussi c' est(3) sympa pendant les les jeux(2) olympiques c' est(3) là qu' on va s' intéresser passionné pour une discipline qu' on(2) a d' ailleurs qu' on ne comprend pas très bien qu' on ne maîtrise(2) pas on ne connaît pas les règles spécialement(5) 
BFMTV_BFMStory_2012-07-27_175800 2920.87 2963.849 Virgile_CAILLET  157 40 42.979 35.2100000000009 7.62000000000126 0.203045685279188 0.177295888689854 effectivement(6) c' est la magie des jeux un cessez(3) -le(2) le(2) caractère(3) unique et rare des jeux(2) olympiques c' est vraiment tout(2) à fait exceptionnel(5) c' est une fois tous les quatre ans il faut il faut rappeler(3) que les les jeux(2) olympiques portent quand même toute cette symbolique(2) ils(2) ont su conserver(2) en fait(2) le(2) concept qui qui qui plusieurs fois millénaire(3) en ce(2) concept un peu d' universalité(2) de(2) de(2) de(2) de(2) rassemblement du peuple(2) voire même(2) c' était la trêve olympique donc voire même un peu des des des notions de(2) paix voilà donc on(2) et dont on(2) est dans cette thématique(2) annonçait(2) symbolique là c' est ce qui fait la force du jeu et pour revenir(2) un(2) petit(3) mot sur teniez stands et les français là aussi sont(2) très confiants teniez stenger le(2) voient(2) ils voient médaillés(2) à quatre vingts pour cent c' est le troisième(2) derrière teddy riner et le(2) hand masculin 
BFMTV_BFMStory_2012-07-27_175800 2963.85 2982.936 Olivier_TRUCHOT  72 17 19.086 16.1599999999994 2.89599999999928 0.191011235955056 0.15173425547518 ah oui bien sûr pas les(2) experts eux- mêmes siyam on hésite un peu plus faible(2) ces derniers temps mais on les(2) attend beaucoup on(2) attend aussi beaucoup de la natation est une belle(3) équipe(3) alors hum biensûr Laure_Manaudou même(3) si pour les mains de la serbie compliqué mais kamilya Camille_Muffat et c' est vrai que si on se passionne pour la natation parce qu' on(2) a une belle équipe(4) sympathique(2) photogéniques(6) 
BFMTV_BFMStory_2012-07-27_175800 2982.94 3020.332 Gerard_SCHALLER  115 27 37.392 30.5300000000011 6.59000000000015 0.190140845070423 0.176240907145917 oui on(2) en(2) est presque à regretter(3) que(2) par exemple(2) Frédérick_Bousquet ne puissent pas défendre(3) son son titre olympique(2) non nous nous ne(2) soit pas là parce qu' on(2) a une natation qui est tellement(3) tellement(3) riche en france que(2) l' on pourrait avoir trois quatre cinq(2) nageurs dans certaines disciplines sont se(2) sont(2) là encore les les(2) athlètes(2) représentent(7) le(2) se(2) se(2) représente(5) individuellement(2) mais représente(5) aussi leur pays(3) donc à des contraintes qui font que(2) dans certaines disciplines font limitée oui peut(2) être que(2) le(2) peut(2) être(2) le(2) le(2) sparring-partners de(2) teddy riner et le(2) deuxième meilleur judoka du monde(2) mais on ne saura jamais parce qu' il ne(2) fera(2) jamais de championnat 
BFMTV_BFMStory_2012-07-27_175800 3020.33 3034.206 Olivier_TRUCHOT  42 16 13.876 10.880000000001 2.94000000000005 0.275862068965517 0.21187662150476 on parlait français m' enfin au au final un que lorsqu' on regarde le(2) tableau des médailles(2) bombes et là on(2) est pas dans le(2) top trois ça sera(2) soit la chine les(2) états-unis la grande-bretagne(2) peut(2) être la russie et puis 
BFMTV_BFMStory_2012-07-27_175800 3034.2 3049.254 Virgile_CAILLET  54 9 15.054 13.2200000000003 1.81400000000031 0.142857142857143 0.120499535007327 la la grande-bretagne sera(2) certainement(3) bien placé mais effectivement(14) ça va se(2) jouer entre(2) la chine la russie les(2) états-unis qui sont d' ailleurs les délégations(6) derrière(5) la grande-bretagne et ça c' est bien logique qui sont les délégations(6) qui présente le(2) plus(3) athlètes puisque effectivement(14) états-unis russie sont à près de cinq cents 
BFMTV_BFMStory_2012-07-27_175800 3049.26 3059.616 Olivier_TRUCHOT  39 8 10.356 9.14999999999918 1.11000000000058 0.170212765957447 0.107184241019755 hum ça c' est vraiment un un des(2) enjeux cette(2) concurrence entre(2) nations parce que(2) on(2) on(2) a on on(2) affirme aussi sa suprématie j' imagine que(2) pour la chine c' est(3) important de(2) finir peut(2) être en première 
BFMTV_BFMStory_2012-07-27_175800 3059.61 3083.172 Virgile_CAILLET  92 23 23.562 19.132000000001 4.41999999999962 0.2 0.187590187590171 effectivement(14) alors on(2) est moins dans(2) une logique(2) de(2) de(2) sport de(2) performance de(2) résultats d' état(2) comme ça a pu l' être(2) à l' époque(3) de(2) l' allemagne(3) de(2) l' est(2) essaiera(2) néanmoins c' est un statut qu' on doit le congo a affirmé c' est pour ça que(2) même au niveau politique(2) on sent qu' il y(4) a une relative pression à ce que(2) l' équipe(3) de(2) france performantes on(2) a été(2) à quarante huit médailles(2) dont sept d' or on l' a entendu tout(2) à l' heure est point 
BFMTV_BFMStory_2012-07-27_175800 3083.18 3084.16 Olivier_TRUCHOT  2 2 0.98 0.679999999999836 0.1899999999996 0.5 0.19387755102 info aisément 
BFMTV_BFMStory_2012-07-27_175800 3084.16 3091.078 Virgile_CAILLET  29 5 6.918 5.56800000000112 1.2800000000002 0.147058823529412 0.185024573576207 onze(2) décès(3) Nafissatou_Diallo l' objectif(2) est de rentrer dans les dix(2) et surtout surtout augmenter le nombre de(2) médailles(2) d' or c' est là y(5) a un caractère symbolique 
BFMTV_BFMStory_2012-07-27_175800 3091.07 3091.823 Olivier_TRUCHOT  2 2 0.753 0.550000000000182 0.143000000000029 0.5 0.189907038512655 gerrard et 
BFMTV_BFMStory_2012-07-27_175800 3091.83 3128.521 Gerard_SCHALLER  155 21 36.691 32.599999999999 4.05099999999993 0.119318181818182 0.110408547055134 oui vous savez il y(5) a des pays(3) pour lesquels c' est important je(2) je(2) pense je(2) suis allé au kenya(2) et au kenya(2) je me(2) suis demandé(2) mais pourquoi ils dépensent autant d' argent pour le(2) sport alors que(2) c' est un pays(3) qui est pas très riche et on m' explique(2) là-bas tout simplement le(2) sport et le(2) ciment de la nation c' est(3) un pays(3) qui est(3) très récent les gens ne(2) se(2) sentent pas kényan(2) ils se(2) sentent(3) couilles ou massaï et cetera de(2) de(2) leurs différentes(4) ethnies il y(5) a un moment où il se(2) sent(2) kényan(2) ces quand(2) je vois le drapeau monter sur le(2) mât et donc je sais c' est aussi de la politique interne(2) c' est pas seulement(3) de la politique externe(3) c' est aussi pour dire au pays(3) regardez -vous(2) existait(3) pour certaines nations et notamment je pense aux nations africaines c' est(3) éminemment(2) important(2) 
BFMTV_BFMStory_2012-07-27_175800 3128.52 3138.024 Olivier_TRUCHOT  38 2 9.504 8.89999999999964 0.419999999999618 0.05 0.044191919191879 merci à messieurs(2) en voyant les mains dans la maison(2) est(2) important il y va sans doute pleuvoir pendant le séjour allant meï peut déjà(2) en france avec(2) ses(2) orages qui traverse(2) le pays(3) la météo(3) pour demain 
